"Year","Country","Patents","Country Name","NeonatalRate","Lifeexpectancy","InfantMortality"
2003,"SG",10,"Singapore",1.3,79.03902439,2.5
2003,"SK",0,"Slovak Republic",4.3,73.60487805,7.3
2003,"US",7704,"United States",4.6,77.03658537,6.9
2004,"AU",75,"Australia",3.3,80.4902439,4.8
2004,"BE",79,"Belgium",2.7,78.87804878,4.1
2004,"CA",273,"Canada",3.9,79.89268293,5.2
2004,"CH",101,"Switzerland",3.3,81.08780488,4.4
2004,"DE",576,"Germany",2.6,78.6804878,4
2004,"DK",79,"Denmark",3.1,77.49268293,4.3
2004,"FI",25,"Finland",2.2,78.71463415,3.2
2004,"FR",329,"France",2.5,80.16341463,3.9
2004,"GB",370,"United Kingdom",3.5,78.74634146,5.2
2004,"IE",12,"Ireland",3.3,78.53902439,4.7
2004,"IL",75,"Israel",2.9,80.14634146,4.7
2004,"IT",90,"Italy",2.8,80.7804878,3.9
2004,"JP",705,"Japan",1.5,82.0302439,2.8
2004,"NL",95,"Netherlands",3.5,79.09512195,4.6
2004,"NO",18,"Norway",2.3,79.84146341,3.4
2004,"NZ",23,"New Zealand",3.3,79.54878049,5.6
2004,"SE",97,"Sweden",2,80.49756098,3.1
2004,"SG",8,"Singapore",1.3,79.4902439,2.4
2004,"SK",0,"Slovak Republic",4,73.95853659,7.1
2004,"US",6283,"United States",4.6,77.48780488,6.8
2005,"AU",72,"Australia",3.2,80.84146341,4.8
2005,"BE",53,"Belgium",2.6,78.9804878,4
2005,"CA",206,"Canada",3.9,80.19268293,5.2
2005,"CH",84,"Switzerland",3.3,81.23658537,4.3
2005,"DE",442,"Germany",2.6,78.93170732,3.9
2005,"DK",76,"Denmark",3.1,77.84390244,4.2
2005,"FI",27,"Finland",2.1,78.81707317,3.1
2005,"FR",297,"France",2.4,80.16341463,3.8
2005,"GB",332,"United Kingdom",3.5,79.04878049,5.1
2005,"IE",11,"Ireland",3,78.94390244,4.4
2005,"IL",65,"Israel",2.7,80.15121951,4.5
2005,"IT",79,"Italy",2.7,80.78292683,3.8
2005,"JP",602,"Japan",1.4,81.92512195,2.8
2005,"NL",94,"Netherlands",3.4,79.34634146,4.4
2005,"NO",14,"Norway",2.3,80.04146341,3.3
2005,"NZ",13,"New Zealand",3.1,79.85121951,5.5
2005,"SE",81,"Sweden",1.9,80.54634146,3
2005,"SG",9,"Singapore",1.3,79.9902439,2.3
2005,"SK",0,"Slovak Republic",3.8,73.90487805,6.8
2005,"US",4768,"United States",4.5,77.48780488,6.7
2006,"AU",103,"Australia",3.1,81.04146341,4.7
2006,"BE",77,"Belgium",2.6,79.3804878,3.9
2006,"CA",293,"Canada",3.8,80.34390244,5.1
2006,"CH",107,"Switzerland",3.3,81.4902439,4.2
2006,"DE",545,"Germany",2.6,79.13170732,3.8
2006,"DK",87,"Denmark",3,78.09512195,4
2006,"FI",26,"Finland",2,79.21463415,3
2006,"FR",337,"France",2.4,80.81219512,3.7
2006,"GB",385,"United Kingdom",3.4,79.24878049,5
2006,"IE",11,"Ireland",2.8,79.24146341,4.1
2006,"IL",87,"Israel",2.6,80.55365854,4.3
2006,"IT",97,"Italy",2.6,81.28292683,3.7
2006,"JP",805,"Japan",1.3,82.32195122,2.7
2006,"NL",78,"Netherlands",3.3,79.69756098,4.3
2006,"NO",15,"Norway",2.2,80.34390244,3.2
2006,"NZ",21,"New Zealand",3,80.04878049,5.4
2006,"SE",99,"Sweden",1.8,80.74878049,2.8
2006,"SG",12,"Singapore",1.2,80.14146341,2.3
2006,"SK",0,"Slovak Republic",3.6,74.20487805,6.6
2006,"US",5904,"United States",4.4,77.68780488,6.7
2007,"AU",79,"Australia",3,81.29268293,4.5
2007,"BE",89,"Belgium",2.5,79.78292683,3.9
2007,"CA",274,"Canada",3.8,80.54390244,5.1
